id,text,expected_category,predicted_category,correct
1,처음 시작하면 마법사를 어디에 배치하는 게 가장 안전한가요?,gameplay_guide,wizard_acquisition,false
2,중앙 언덕 밖으로 마법사를 옮길 수 없는 이유가 궁금합니다.,gameplay_guide,wizard_acquisition,false
3,경로 근처에 마법사를 둘 때 적 이동을 막지 않는 배치 팁이 있나요?,gameplay_guide,gameplay_guide,true
4,초반 라운드에서 골드를 모으면서 버티는 기본 운영법을 알려주세요.,gameplay_guide,tower_progress,false
5,불과 물 속성 마법사를 같이 쓸 때 어떤 상황에서 좋은가요?,gameplay_guide,gameplay_guide,true
6,돌 속성 마법사는 어느 위치에 두면 방어에 도움이 되나요?,gameplay_guide,wizard_acquisition,false
7,번개 마법사와 바람 마법사 조합을 추천하는 전투 상황이 있나요?,gameplay_guide,wizard_acquisition,false
8,전설 마법사 없이도 초반 층을 안정적으로 넘기는 빌드가 궁금해요.,gameplay_guide,feedback_balance,false
9,적이 몰려올 때 소환을 먼저 해야 하나요 아니면 연구를 먼저 해야 하나요?,gameplay_guide,gameplay_guide,true
10,마법사 조합이 효과적인 상황을 예시로 설명해 주세요.,gameplay_guide,wizard_growth,false
11,초보자용 성장 가이드를 전체 흐름으로 추천해 주세요.,gameplay_guide,wizard_growth,false
12,레조넌스라는 말이 나오는데 플레이 흐름에서 언제 신경 쓰면 되나요?,gameplay_guide,wizard_growth,false
13,적 경로를 막는 게임인지 아니면 경로 주변에 배치하는 게임인지 헷갈립니다.,gameplay_guide,gameplay_guide,true
14,라운드가 빨라질 때 어떤 기준으로 마법사를 추가 소환해야 하나요?,gameplay_guide,wizard_acquisition,false
15,보스가 나오는 층에서는 어떤 조합을 준비하는 게 좋나요?,gameplay_guide,tower_progress,false
16,공격 범위가 겹치는 마법사들을 한곳에 모아도 괜찮나요?,gameplay_guide,skill_combat,false
17,적 체력 표시를 보면서 공격 타이밍을 판단하는 방법이 있나요?,gameplay_guide,skill_combat,false
18,음악 버튼이나 UI를 건드리지 않고 전투에 집중하는 설정 팁이 있나요?,gameplay_guide,tower_progress,false
19,스킬이 강한 마법사와 기본 공격이 좋은 마법사를 어떻게 섞어야 하나요?,gameplay_guide,gameplay_guide,true
20,웨이브가 밀릴 때 소환과 배치 중 무엇을 먼저 조정해야 하나요?,gameplay_guide,gameplay_guide,true
21,마법사는 전투 중 어떤 방식으로 새로 소환하나요?,wizard_acquisition,wizard_acquisition,true
22,소환 버튼을 누르면 골드가 얼마나 필요한지 어디서 확인하나요?,wizard_acquisition,wizard_acquisition,true
